seeding method,2tran vil1_182,2tran vil2_195,2tran vil3_292,2tran vil4_239,2tran vil6_114,2tran vil9_207,2tran vil12_175,2tran vil15_171,2tran vil19_204,2tran vil20_156,2tran vil21_202,2tran vil23_254,2tran vil24_163,2tran vil25_252,2tran vil29_290,2tran vil31_153,2tran vil32_241,2tran vil33_204,2tran vil36_289,2tran vil39_287,2tran vil42_192,2tran vil43_198,2tran vil45_221,2tran vil46_262,2tran vil47_139,2tran vil48_182,2tran vil50_244,2tran vil51_251,2tran vil52_327,2tran vil55_257,2tran vil57_208,2tran vil59_329,2tran vil60_356,2tran vil62_190,2tran vil64_257,2tran vil65_297,2tran vil67_193,2tran vil68_153,2tran vil70_205,2tran vil71_298,2tran vil72_223,2tran vil73_174,2tran vil75_172
random,0.004668465971259757,0.005398839249561345,0.007621361904235931,0.00609581864939518,0.006261911244214539,0.005255438768027377,0.007411764705882353,0.006273620559334844,0.004307463795024137,0.005317128750474744,0.005422601402646229,0.0023951276260863615,0.00610079575596817,0.004738760631834751,0.003918318137291839,0.0055748078951333435,0.004837852206273259,0.015402038505096263,0.005442376994925351,0.0046567323044172425,0.0052056220718375845,0.007699901283316881,0.004980630879911455,0.008839696924676867,0.004336106879174967,0.008000653114539963,0.010032958511050795,0.005628572257521687,0.0054114817525881,0.01512756829984195,0.005320743405275779,0.006252150969370196,0.004117547521010774,0.006273398765557017,0.005989705194197473,0.008243395351916838,0.011515236624069653,0.005015353121801433,0.005247500206594496,0.009925214661619426,0.008353655372801328,0.0030676767044387405,0.008582667779234712
random,0.0062732511488802975,0.0037791874746929415,0.004142044513171701,0.004381369654252786,0.003539341138034305,0.005010999755560987,0.004823529411764706,0.0074829931972789105,0.004307463795024137,0.004937333839726547,0.004121177066011134,0.004174365291179087,0.004244031830238726,0.0031591737545565005,0.005802124934066762,0.01190296820852795,0.0035087719298245615,0.0066817667044167615,0.009082885930720012,0.0039249600851516755,0.008198854763144196,0.006120434353405726,0.005866076369673492,0.0061655028970435295,0.007383100902378999,0.007102620622091599,0.009208995734780923,0.007833579946035339,0.009934121091707623,0.01241815308195981,0.007194244604316547,0.0057359183205231154,0.0037227141970782333,0.005261560254983305,0.005615348619560131,0.0063894590478712834,0.008495997753124561,0.01218014329580348,0.010164449219072804,0.003416120395162035,0.004981061588751103,0.005571902585613222,0.007569436166408392
random,0.0048873003136625575,0.005398839249561345,0.0029270447893080024,0.00609581864939518,0.003811598148652328,0.0047054509899780005,0.006,0.010279667422524563,0.0027478648347567768,0.004937333839726547,0.011206709565468874,0.004858687470060905,0.004686118479221927,0.003948967193195626,0.0046718408560018085,0.005273466927828838,0.008452950558213716,0.008493771234428085,0.008457748032654262,0.004590207557211282,0.00663716814159292,0.0036525172754195458,0.004759269507470946,0.0034913088694101917,0.006562756357670222,0.006286227447138542,0.010032958511050795,0.007804566686975948,0.007476733242706264,0.00553172273650937,0.0085431654676259,0.005391763221291729,0.004512380844943313,0.007386421127188101,0.0040243331773514275,0.007978547308481758,0.01390254177784019,0.010133060388945752,0.005619370299975209,0.006232111531714523,0.0059150106366419345,0.008013522819758341,0.006377398974848015
random,0.003501349478444817,0.0033742745309758406,0.004859998895454796,0.010096199638060768,0.009256738361012797,0.0067831825959423124,0.0024705882352941176,0.0035525321239606947,0.0041589305607129595,0.009874667679453095,0.005205697346540379,0.006432628481489085,0.002652519893899204,0.00637910085054678,0.00535001130284078,0.008889558535482898,0.005688463583200425,0.010079275198187996,0.012649849231448114,0.005055880787653007,0.01028110359187923,0.008489634748272457,0.005644714997232983,0.00371415837171297,0.005742411812961444,0.007265899257082211,0.01206863125242342,0.005860678329996809,0.007006169612046429,0.004967261232783924,0.004646282973621103,0.0064242285189858896,0.003666309436516442,0.0035414347870079935,0.005053813757604118,0.005528702906707277,0.008074708608341525,0.0053224155578300925,0.0054127758036525905,0.006786077001200258,0.003995226482644113,0.01158204470043198,0.005781380379067827
random,0.00474141075206069,0.006343636118234581,0.0020434086264980392,0.003333650823887989,0.004628369180506398,0.005744316792960156,0.00611764705882353,0.003628117913832199,0.0060155959896026736,0.008545385491834409,0.006507121683175475,0.006706357353041812,0.0014146772767462423,0.0052855407047387604,0.007158465827744706,0.007382853698960374,0.007230196703880914,0.007361268403171008,0.00919320438331985,0.004922831293241085,0.006507027589796981,0.005528134254689042,0.006640841173215274,0.008839696924676867,0.006797140513301301,0.009306882194464855,0.011390073671965878,0.015406040560536165,0.00512391508940709,0.006096184240234816,0.0038968824940047962,0.0068257428014225074,0.004568785605505105,0.004249721744409592,0.005708937763219467,0.007713699265046679,0.011445021766605813,0.004298874104401228,0.0049995868110073545,0.005493490905733543,0.006278213044155036,0.009203030113316222,0.007986649183454524
random,0.004595521190458822,0.002159535699824538,0.0033688628707129837,0.0037146394894751883,0.00707868227606861,0.005133219261794182,0.004823529411764706,0.0040060468631897194,0.009134793910137393,0.004937333839726547,0.011568216325645288,0.00506398412372545,0.005305039787798408,0.003280680437424058,0.007007761284002712,0.005725478378785596,0.004146730462519936,0.006908267270668176,0.004559829374126646,0.006053751995742415,0.004945340968245705,0.004639684106614018,0.004980630879911455,0.006759768236517605,0.006679948435485761,0.005306555637194873,0.008578906552927491,0.007253314764847535,0.009411272613196695,0.011853691578234364,0.0075689448441247,0.006768383618217276,0.006260928422358847,0.007082869574015987,0.0053345811885821244,0.008276501357346222,0.007653419463558489,0.007062436028659161,0.004049252127923312,0.008078663096666975,0.003943340424427956,0.0071370437613472735,0.006735010132316128
random,0.002844846451236414,0.003104332568497773,0.00226431766720053,0.005810077150204781,0.005172883201742445,0.008066487411390858,0.0058823529411764705,0.007936507936507936,0.00571852952098032,0.004367641473604254,0.0023859446171643406,0.005406145213166359,0.008753315649867375,0.004131227217496963,0.008891568080777635,0.0036160916076540604,0.003987240829346092,0.005322763306908267,0.007722291681988674,0.0030601383714741882,0.00676730869338886,0.005923000987166831,0.005312672938572219,0.0031941761996731543,0.005859603890776983,0.0045718017797371216,0.006688639007367197,0.00832680535004497,0.006457178709609955,0.007112214946940618,0.00869304556354916,0.0055638407709074226,0.0042867618026961474,0.0028331478296063947,0.0017781937295273749,0.0064225650533006684,0.013832326920376352,0.0024564994882292734,0.00690025617717544,0.00757086141630505,0.010377211643231464,0.009203030113316222,0.006735010132316128
random,0.0022612882048289444,0.005668781212039412,0.004362953553874192,0.0037146394894751883,0.004628369180506398,0.008372036176973845,0.0032941176470588237,0.004686318972033257,0.0054957296695135535,0.005317128750474744,0.0035427662497288697,0.007048518442482721,0.00618921308576481,0.004495747266099636,0.007610579458970688,0.007533524182612626,0.0047315257841573635,0.006568516421291053,0.008935794660586895,0.006918573709419903,0.009630400832899531,0.0068114511352418555,0.008522412838959601,0.004531273213489824,0.003281378178835111,0.004163605192260593,0.012844125630089182,0.012620767690834712,0.006091184774652305,0.0038383382253330323,0.003147482014388489,0.008775955030400366,0.0030458570703367363,0.003339067084893251,0.006083294337856809,0.005661126928424816,0.00870664232551608,0.006448311156601843,0.0067349805801173454,0.010063706028990859,0.003891454366211799,0.007512677643523446,0.008761473357968768
random,0.007367422860894303,0.0074234039681468494,0.00370022643176672,0.002476426326316792,0.002994827116798258,0.004399902224395014,0.005294117647058823,0.0071050642479213895,0.004307463795024137,0.007595898214963919,0.0042657797700817,0.0029425853691918153,0.003625110521662246,0.006318347509113001,0.003993670409162836,0.003917432574958565,0.0031366294524189263,0.00883352208380521,0.011215709347650217,0.0037919105907397548,0.006246746486205101,0.007502467917077986,0.01040398450470393,0.0077254494131629775,0.006797140513301301,0.008327210384521186,0.0064947654129507565,0.009139176603707895,0.010587681689846282,0.012079476179724543,0.005545563549160672,0.007112538717448664,0.0042303570421343565,0.008094708084589699,0.005147402901263453,0.007548169237899755,0.00975986518747367,0.0033776867963152507,0.005040905710271879,0.00609362016434309,0.004877289472318788,0.008201339760846428,0.01072833472404339
random,0.011817054489751259,0.005803752193278446,0.005577953277737892,0.0039051338222687876,0.007350939286686633,0.005194329014910779,0.006941176470588235,0.0034769463340891906,0.004604530263646491,0.002278769464489176,0.006579423035210758,0.004584958598508178,0.002033598585322723,0.006500607533414338,0.010172556702584584,0.002561398222088293,0.004518872939925572,0.005096262740656852,0.006876516878723248,0.004257583821181479,0.005726184279021343,0.0087857847976308,0.002988378527946873,0.004531273213489824,0.005976795968592523,0.007429177892072822,0.004798371461806902,0.012939913540488002,0.006797030220642058,0.009370060961842402,0.0035221822541966425,0.003269473442698176,0.0061481189012352645,0.007689972680360214,0.006364061768834815,0.008640667417069457,0.004072461732902682,0.004912998976458547,0.00677629947938187,0.006924568368571692,0.004773517355886474,0.006886621173229825,0.007033019430206223
random,0.00612736158727843,0.004723984343366177,0.0033136356105373612,0.0051433469854271835,0.002178056084944188,0.00494989000244439,0.008352941176470589,0.002569916855631141,0.004827330115113257,0.006836308393467528,0.004048875713975851,0.003558475330185451,0.006896551724137931,0.005953827460510328,0.0045964885841308116,0.007533524182612626,0.002126528442317916,0.005322763306908267,0.006766198426123409,0.0029936136242682274,0.004685059864653826,0.008489634748272457,0.005866076369673492,0.0058683702273064926,0.011602015703738427,0.004898359049718345,0.010420705699883676,0.010850958888211913,0.006535605981386594,0.006096184240234816,0.0038968824940047962,0.00694046116783297,0.005414857013931976,0.007184053425073359,0.006738418343472157,0.005429384890419122,0.005827833169498666,0.005834186284544524,0.007272126270556152,0.00609362016434309,0.00560369428734499,0.005884930820760033,0.0054237692215997136
random,0.008169815449704574,0.004858955324605211,0.003865908212293588,0.004286122487855986,0.004356112169888376,0.004216572965045221,0.004470588235294118,0.006878306878306878,0.002896398069067954,0.008545385491834409,0.004482683826187549,0.004790255252172723,0.00636604774535809,0.00425273390036452,0.005576068118453771,0.006478830797046859,0.0053694843168527375,0.004869762174405436,0.004743693461793042,0.00552155401809473,0.007678292555960437,0.004837117472852912,0.007858328721638073,0.007799732580597236,0.0037501464900972694,0.007184259939586905,0.008772780147343931,0.0061798241796501,0.006718602948865419,0.01106344547301874,0.005320743405275779,0.008374440747963749,0.004850809408314062,0.006071031063442275,0.0039307440336920916,0.0047341587764020395,0.010181154332256706,0.008700102354145343,0.006817618378646393,0.006739913212076447,0.0035282519586986977,0.007763100231640894,0.00971510311121707
random,0.006929754176088701,0.006748549061951681,0.0013254542442149445,0.0026669206591103914,0.0068064252654505865,0.005255438768027377,0.007764705882352941,0.0034769463340891906,0.003044931303379131,0.006836308393467528,0.007085532499457739,0.006843221788818176,0.006984969053934571,0.005103280680437424,0.007610579458970688,0.010396263372005424,0.0031366294524189263,0.009739524348810872,0.00426564683386041,0.0037919105907397548,0.006116605934409162,0.004442250740375123,0.003763143331488655,0.003565592036844451,0.007383100902378999,0.007755735162054045,0.006058549825513765,0.011779383178112397,0.010509254418069644,0.007337999548430797,0.005320743405275779,0.005047608122060342,0.004850809408314062,0.007285237276130729,0.01169864295741694,0.007813017281334834,0.005055469737396433,0.0054247697031729785,0.002933641847781175,0.0057704736404764105,0.00908006018782753,0.005571902585613222,0.008761473357968768
